Colorado Building ID,Building Street Address (ESPM),Building City (ESPM),Latitude,Longitude,Gross Floor Area (Tax Assessor),Primary Property Type - Portfolio Manager-Calculated,Weather Normalized Site EUI (kBtu/ft²),Gross Floor Area (ESPM),Total GHG Emissions (Metric Tons CO2e),Building Street Address (Tax Assessor)
C16948,2100 STADIUM DR,Boulder,40.0103426,-105.2668985,100762.0,Other - Recreation,91.9,100747.0,875.97,2100 STADIUM DR
C16963,1020 18TH ST,Boulder,40.0062447,-105.2690796,158615.0,College/University,122.7,158629.0,1384.73,1020 18TH ST
C18159,6263 W Jewell Ave.,Lakewood,39.6832023,-105.06482,115966.0,Multifamily Housing,,218623.0,,6263 W JEWELL AVE
FC5161,165 CHESTNUT ST 5,FORT COLLINS,40.5881635,-105.0736592,115713.0,PUBLIC SERVICE,,115713,,165 CHESTNUT ST 5
C18165,11595 W 6TH AVE FRONTAGE RD,LAKEWOOD,39.7268272,-105.127243,57119.0,AUTOMOBILE DEALERSHIP,,57119,,11595 W 6TH AVE FRONTAGE RD
C17031,1555 West 37th Street,Loveland,40.4301396,-105.0999496,57750.0,K-12 School,69.6,57750.0,337.57,1555 WEST 37TH STREET
C18069,2431 PRAIRIE CENTER PKWY,BRIGHTON,39.9522168,-104.784502,108700.0,RETAIL STORE,,108700,,2431 PRAIRIE CENTER PKWY
C18100,9501 E 23rd Ave,Aurora,39.751407,-104.8781844,67615.0,Multifamily Housing,36.4,143937.0,586.03,9501 E 23RD AVE
C17798,17776 E 84th Ave,Commerce City,39.847685,-104.778555,154560.0,Non-Refrigerated Warehouse,22.7,154560.0,242.87,17776 E. 84TH AVENUE
C18161,8012 W Long Dr,Littleton,39.6120312,-105.0879678,354700.0,Multifamily Housing,38.2,348660.0,1216.35,8012 W LONG DR
C16939,1995 COLORADO AVE,Boulder,40.0086007,-105.2674434,69153.0,Other - Recreation,131.6,69154.0,650.02,1995 COLORADO AVE
C18167,3903 E 15th St,Loveland,40.4089023,-105.0185292,170493.0,Multifamily Housing,31.4,182162.0,552.36,3903 E 15TH ST
C18102,15000 PICADILLY RD,BRIGHTON,39.9720731,-104.731905,58426.0,NURSERY/GREENHOUSE,,58426,,15000 PICADILLY RD
C18354,710 W LIONSHEAD CIR,VAIL,39.6434453,-106.3923991,127925.0,MULTIFAMILY HOUSING,,127925,,710 W LIONSHEAD CIR
EB141,3375 34th Street,Boulder,40.0357284,-105.2496751,60516.0,Senior Living Community,58.8,60516.0,361.84,3375 34TH STREET
EB132,6333 LOOKOUT RD,BOULDER,40.0724587,-105.2058188,63480.0,HOTEL,,63480,,6333 LOOKOUT RD
C18186,10375 US HIGHWAY 385,JULESBURG,40.9006876,-102.229783,285000.0,GRAIN STORAGE,,285000,,10375 US HIGHWAY 385
C18365,1121 Austin Bluffs Pkwy,Colorado Springs,38.893319,-104.807173,468564.0,Multifamily Housing,1023.4,237463.0,32793.33,1121 AUSTIN BLUFFS PARKWAY
EB418,4699 Nautilus Court,Boulder,40.0586691,-105.206004,71534.0,Non-Refrigerated Warehouse,45.0,71534.0,244.79,4699 NAUTILUS COURT
C18299,NEW BUILD - MULTIFAMILY COMPLEX - COLFAX AVE AND SCRANTON,AURORA,39.7403407,-104.8416019,,PARKING STRUCTURES,,,,NEW BUILD - MULTIFAMILY COMPLEX - COLFAX AVE AND SCRANTON
FC1841,1521 OAKRIDGE DR,FORT COLLINS,40.5220575,-105.0513032,88357.0,Government,,88357,,1521 OAKRIDGE DR
C18113,16785 Sheridan Pkwy,Broomfield,39.9992933,-105.0107325,284997.0,Multifamily Housing,44.0,284997.0,1224.27,16785 SHERIDAN PKWY
EB142,5475 AIRPORT BLVD,BOULDER,40.0364664,-105.226712,,,,,,5475 AIRPORT BLVD
EB133,4909 Nautilus Court North,Boulder,40.0641788,-105.2045802,76560.0,Office,45.8,76560.0,334.43,4909 NAUTILUS COURT
C18188,6727 COUNTY ROAD 57,JULESBURG,40.8476298,-102.1136237,56964.0,GRAIN STORAGE,,56964,,6727 COUNTY ROAD 57
EB144,5555 Airport Boulevard,Boulder,40.0376581,-105.2245504,60000.0,Manufacturing/Industrial Plant,510.4,62860.0,3259.68,5555 AIRPORT BV
C18122,1370 INTERQUEST PKWY,Colorado Springs,38.9915623,-104.7991444,65044.0,Medical Office,79.8,65044.0,682.37,1370 INTERQUEST PKWY
C18366,9350 Dorchester St,Highlands Ranch,39.5464056,-104.9974854,128985.0,Multifamily Housing,28.8,128985.0,476.75,9350 DORCHESTER ST
FC3202,4201 SENECA ST,FORT COLLINS,40.5277164,-105.1048648,53800.0,EDUCATION,,53800,,4201 SENECA ST
C18296,21000 E 13th Ave,Aurora,39.7347855,-104.7417672,1078683.0,Distribution Center,,1079741.0,,21000 E 13TH AVE
C18374,5150 Ronald Reagan Blvd,Johnstown,40.4009242,-104.9872352,79148.0,Multifamily Housing,31.9,281004.0,1149.91,5150 RONALD REAGAN BLVD
FC1791,4401 INNOVATION DRIVE,FORT COLLINS,40.5267453,-105.0443726,64784.0,Other - Technology/Science,36.5,64515.0,186.69,4401 INNOVATION DR
C18300,NEW BUILD - MULTIFAMILY COMPLEX - COLFAX AVE AND PEORIA,AURORA,39.7401027,-104.8469343,367171.0,MULTIFAMILY HOUSING,,367171,,NEW BUILD - MULTIFAMILY COMPLEX - COLFAX AVE AND PEORIA
EB560,1545 WALNUT ST,Boulder,40.0181443,-105.2747291,68412.0,Data Center,175.2,68450.0,1662.48,1545 WALNUT ST
EB134,4910 nautilus Ct. N,Boulder,40.0625885,-105.204763,52798.0,Manufacturing/Industrial Plant,260.1,52798.0,1162.37,4910 NAUTILUS CT
C18187,400 E 1ST ST,JULESBURG,40.9890638,-102.2583364,260000.0,GRAIN STORAGE,,260000,,400 E 1ST ST
EB145,5550 Airport Blvd,Boulder,40.0362706,-105.2240717,169373.0,Manufacturing/Industrial Plant,,172950.0,,5550 AIRPORT BV
C18094,8000 E. 96th Avenue,Henderson,39.8702228,-104.8950222,199500.0,Distribution Center,27.3,199500.0,335.62,8000 E 96TH AVE
C18114,1950 MCCORMICK PL,BUENA VISTA,38.823005,-106.13219,109095.0,LIGHT COMMERCIAL BUILDINGS,,109095,,1950 MCCORMICK PL
EB135,3955 28th Street,Boulder,40.0469086,-105.2615382,63735.0,Senior Living Community,74.4,63735.0,477.08,3975 28TH STREET
C16969,1234 INNOVATION DR,Boulder,40.0090381,-105.2475651,117540.0,Laboratory,130.0,117377.0,1637.14,1234 INNOVATION DR
C18297,8301 SOUTHPARK LN,LITTLETON,39.5663944,-105.0022527,57354.0,AUTO SERVICE,,57354,,8301 SOUTHPARK LN
FC1854,2315 E. Harmony Rd,Fort Collins,40.5212494,-105.0349821,,Medical Office,43.4,72293.0,430.62,2315 E. HARMONY RD
C16945,2150 STADIUM DR,Boulder,40.009733,-105.2672333,231120.0,Other - Recreation,119.9,231119.0,2062.17,2150 STADIUM DR
C16940,3355 APACHE DR,Boulder,39.9969966,-105.2505657,190886.0,Multifamily Housing,45.7,190886.0,731.94,3355 APACHE DR
C18375,5150 RONALD REGAN BLVD #2,JOHNSTOWN,40.4009242,-104.9872352,79148.0,Government,,79148,,5150 RONALD REGAN BLVD #2
C18301,NEW BUILD - MULTIFAMILY COMPLEX - COLFAX AVE AND PEORIA,AURORA,39.7401027,-104.8469343,,PARKING STRUCTURES,,,,NEW BUILD - MULTIFAMILY COMPLEX - COLFAX AVE AND PEORIA
C18239,6905 8TH,GREELEY,40.424277,-104.7904798,60821.0,K-12 SCHOOL,,60821,,6905 8TH
C18168,4295 MCWHINNEY BLVD,LOVELAND,40.4093376,-105.0173887,79086.0,SENIOR LIVING COMMUNITY,,79086,,4295 MCWHINNEY BLVD
FC1857,302 S College Ave,Fort Collins,40.5836882,-105.076474,183682.0,Multifamily Housing,59.5,183682.0,905.94,302 S COLLEGE AVE
C18123,7110 Cross Creek,Fountain,38.716287,-104.695968,80470.0,Multifamily Housing,4.3,80470.0,47.60,7110 CROSS CREEK AVE
C18096,8350 Quintero St,Commerce City,39.8473982,-104.7850738,254565.0,Non-Refrigerated Warehouse,,254565.0,,8350 QUINTERO ST
EB168,4840 Pearl East Circle,Boulder,40.0208845,-105.2408799,67582.0,Office,161.4,62649.0,1019.30,4840 PEARL EAST CIRCLE
C18189,375 Blue River Parkway,Silverthorne,39.6317954,-106.0746202,69543.0,Hotel,69.0,69543.0,436.16,375 BLUE RIVER PKWY
C18103,1850 DOGWOOD ST,LOUISVILLE,39.9666438,-105.1147306,60154.0,STORAGE WAREHOUSE,,60154,,1850 DOGWOOD ST
C18267,1680 GREAT WESTERN,WINDSOR,40.4549033,-104.8527005,112079.0,REFRIGERATED WAREHOUSE,,112079,,1680 GREAT WESTERN
EB136,3245 Kalmia Ave,Boulder,40.0408523,-105.2507681,62095.0,Worship Facility,23.9,62095.0,132.69,3245 KALMIA AVE
C18124,1671 SQUADRON DR,MONUMENT,39.0532309,-104.856831,98428.0,WAREHOUSE/STORAGE,,98428,,1671 SQUADRON DR
C18275,616 N 6TH,GREELEY,40.4411164,-104.688237,51249.0,MANUFACTURING/INDUSTRIAL PLANT,,51249,,616 N 6TH
C18246,13278 COUNTY ROAD 32,WELD,40.2166108,-104.8058702,63000.0,RESIDENTIAL,,63000,,13278 COUNTY ROAD 32
FC1549,2500 E Prospect Rd,Fort Collins,40.5681767,-105.0315824,62062.0,Ambulatory Surgical Center,107.7,67229.0,829.54,2500 E PROSPECT RD
C18368,31 Avondale Lane,Avon,39.6049732,-106.518133,79322.0,Multifamily Housing,99.6,71630.0,522.16,31 AVONDALE LANE
FC1010,4424 Innovation Drive,Fort Collins,40.5256505,-105.0444696,91674.0,K-12 School,37.1,91067.0,369.23,4424 INNOVATION DR
C18268,1680 GREAT WESTERN,WINDSOR,40.4549033,-104.8527005,112079.0,COMMERCIAL,,112079,,1680 GREAT WESTERN
C18169,4590 Trade St,Johnstown,40.4019039,-104.969917,68414.0,Multifamily Housing,38.0,319232.0,1386.74,4590 TRADE ST
C18298,NEW BUILD - MULTIFAMILY COMPLEX - COLFAX AVE AND SCRANTON,AURORA,39.7403407,-104.8416019,435586.0,MULTIFAMILY HOUSING,,435586,,NEW BUILD - MULTIFAMILY COMPLEX - COLFAX AVE AND SCRANTON
C18236,32970 COUNTY ROAD 59,WELD,40.4786182,-104.5074926,57352.0,RESIDENTIAL,,57352,,32970 COUNTY ROAD 59
C18172,4590 TRADE ST,JOHNSTOWN,40.4019039,-104.969917,111136.0,MULTIFAMILY HOUSING,,111136,,4590 TRADE ST
FC1959,301 W. Skyway Dr.,Fort Collins,40.4995904,-105.0831418,,Other - Services,35.8,74849.0,297.66,301 W SKYWAY DR
C18302,3172 S PARKER RD,AURORA,39.659294,-104.846491,71572.0,MULTIFAMILY HOUSING,,71572,,3172 S PARKER RD
C18170,4590 TRADE ST,JOHNSTOWN,40.4019039,-104.969917,71354.0,MULTIFAMILY HOUSING,,71354,,4590 TRADE ST
EB245,1777 6th Street,Boulder,40.0140186,-105.289326,214237.0,Courthouse,72.9,184428.0,1191.50,1777 6TH STREET
C18303,7151 S BLACKHAWK ST,CENTENNIAL,39.5877539,-104.8265609,106000.0,R&D/FLEX,,106000,,7151 S BLACKHAWK ST
EB567,2032 14TH ST,BOULDER,40.0191873,-105.2772695,,PARKING,,,,2032 14TH ST
C18190,365 DILLON RIDGE RD,DILLON,39.629663,-106.051746,98684.0,,,98684,,365 DILLON RIDGE RD
C18249,1000 OWLZ WAY,WINDSOR,40.468316,-104.8779779,119895.0,STADIUM (OPEN),,119895,,1000 OWLZ WAY
EB148,6287 ARAPAHOE AVENUE,BOULDER,40.0160426,-105.2074092,51640.0,COLLEGE/UNIVERSITY,,51640,,6287 ARAPAHOE AVENUE
C18125,4607 FORGE RD,COLORADO SPRINGS,38.898314,-104.8402095,105025.0,MANUFACTURING PROCESSING,,105025,,4607 FORGE RD
C18248,3331 29TH,GREELEY,40.3880187,-104.7322811,68154.0,MANUFACTURING/INDUSTRIAL PLANT,,68154,,3331 29TH
EB243,4950 BASELINE ROAD,BOULDER,39.9973388,-105.2328283,79829.0,HOTEL,,79829,,4950 BASELINE ROAD
EB174,4745 Arapahoe Avenue,Boulder,40.0163714,-105.2363939,71000.0,Medical Office,,70892.0,,4745 ARAPAHOE AVE
EB149,5815 Arapahoe Ave,Boulder,40.0164549,-105.2176525,103600.0,Self-Storage Facility,1.4,102400.0,19.44,5815 ARAPAHOE AVE.
C18276,14574 COUNTY ROAD 64,GREELEY,40.4513792,-104.7800174,55226.0,MANUFACTURING/INDUSTRIAL PLANT,,55226,,14574 COUNTY ROAD 64
C18116,14820 Compark Blvd,Englewood,39.5577029,-104.818448,83752.0,Distribution Center,,83674.0,,14820 COMPARK BLVD
EB137,2800 Palo Pkwy,Boulder,40.0426383,-105.2574728,58248.0,Senior Living Community,,58248.0,,2800 PALO PARKWAY
FC2070,1400 MAPLE ST,FORT COLLINS,40.5921463,-105.1021421,58900.0,EDUCATION,,58900,,1400 MAPLE ST
C18309,14565 E Alameda Ave,Aurora,39.7119126,-104.8184824,232950.0,Multifamily Housing,39.4,232971.0,928.58,14565 E ALAMEDA AVE
C18270,475 HIGHLANDS,ERIE,40.0393366,-105.0268847,70000.0,K-12 SCHOOL,,70000,,475 HIGHLANDS
C18250,1060 FUTURE LEGENDS,WINDSOR,40.4682757,-104.8740567,70960.0,COMMERCIAL,,70960,,1060 FUTURE LEGENDS
FC1879,2701 S College Avenue,Fort Collins,40.550488,-105.0790418,95815.0,Other - Mall,46.2,98459.0,523.92,2721 S COLLEGE AVE
C18371,38390 US-6,Avon,39.6303808,-106.5216948,80472.0,Multifamily Housing,,80472.0,,38390 HIGHWAY 6
C18173,4901 WEITZEL ST,TIMNATH,40.5184105,-104.9894423,79262.0,Retail Store,43.0,79610.0,332.08,4901 WEITZEL ST
C18348,10075 Walden Street,Commerce City,39.8794357,-104.7775313,62416.0,K-12 School,42.4,62416.0,259.35,10075 WALDEN STREET
C18310,2311 W 16ST STREET,GREELEY,40.4143133,-104.7162592,49232.0,MULTIFAMILY HOUSING,,49232,,2311 W 16ST STREET
C18179,563 Sandhill Lane,GRAND JUNCTION,39.086646,-108.6029267,102243.0,Refrigerated Warehouse,,98653.0,,563 SANDHILL LN
EB123,5920 LONGBOW DRIVE,BOULDER,40.0634391,-105.2157269,,,,,,5920 LONGBOW DRIVE
FC1975,4750 Pleasant Oak Drive,Fort Collins,40.5212925,-105.049714,201052.0,Senior Living Community,49.7,201052.0,976.80,4750 PLEASANT OAK DR
C18106,205 East Ken Pratt Boulevard,Longmont,40.1503182,-105.0873087,158063.0,Supermarket/Grocery Store,129.2,160548.0,2154.57,205 E KEN PRATT BLVD
C18378,702 E. Pikes Peak Ave.,Colorado Springs,38.8336709,-104.8116048,135995.0,Multifamily Housing,,135995.0,,702 E. PIKES PEAK AVE
FC1046,502 W. LAKE ST.,Fort Collins,40.5691583,-105.0852447,91991.0,College/University,96.9,91991.0,899.85,502 W. LAKE ST.
